customer_id,email,support_tickets,satisfaction_score,retention_months,lifetime_value
1125,customer125@example.com,0,4,22,1857.13
1326,customer326@example.com,1,3,46,2089.03
1255,customer255@example.com,2,4,4,277.3
1087,customer87@example.com,0,3,32,1241.33
1267,customer267@example.com,3,2,23,1387.34
1013,customer13@example.com,2,5,49,587.32
1302,customer302@example.com,4,2,34,617.55
1309,customer309@example.com,4,1,4,4845.41
1384,customer384@example.com,1,5,26,424.01
1387,customer387@example.com,0,4,42,267.56
1029,customer29@example.com,3,1,54,275.97
1224,customer224@example.com,1,3,22,810.92
1333,customer333@example.com,1,5,22,3794.07
1231,customer231@example.com,4,2,55,5080.62
1320,customer320@example.com,4,3,57,73.15
1081,customer81@example.com,3,5,1,3111.1
1271,customer271@example.com,2,5,54,13.32
1173,customer173@example.com,6,4,15,2107.15
1218,customer218@example.com,4,2,17,699.86
1245,customer245@example.com,3,5,58,91.51
1059,customer59@example.com,2,2,13,3115.63
1294,customer294@example.com,2,5,55,497.94
1177,customer177@example.com,1,2,33,709.56
1035,customer35@example.com,3,3,23,1003.11
1001,customer1@example.com,4,3,7,1716.6
1167,customer167@example.com,5,5,17,555.12
1184,customer184@example.com,5,3,28,228.27
1009,customer9@example.com,2,4,50,2151.44
1086,customer86@example.com,2,2,33,1921.79
1324,customer324@example.com,2,1,45,788.54
1358,customer358@example.com,1,5,57,6.07
1219,customer219@example.com,1,1,4,2604.5
1064,customer64@example.com,2,3,21,791.15
1118,customer118@example.com,3,4,37,914.72
1038,customer38@example.com,2,4,18,697.17
1229,customer229@example.com,2,5,15,691.55
1211,customer211@example.com,2,2,25,1175.76
1162,customer162@example.com,3,1,42,806.45
1153,customer153@example.com,1,3,43,1591.11
1287,customer287@example.com,4,4,16,41.94
1348,customer348@example.com,2,2,8,1382.16
1379,customer379@example.com,2,1,14,788.99
1308,customer308@example.com,1,2,57,658.94
1280,customer280@example.com,4,1,12,3272.86
1313,customer313@example.com,4,4,40,40.06
1199,customer199@example.com,3,4,2,166.23
1004,customer4@example.com,6,5,46,70.9
1242,customer242@example.com,1,4,52,1691.44
1253,customer253@example.com,2,3,6,231.92
1204,customer204@example.com,1,3,5,200.67
1350,customer350@example.com,1,5,37,126.82
1088,customer88@example.com,1,2,21,1378.39
1016,customer16@example.com,4,2,12,214.27
1187,customer187@example.com,0,2,41,1723.96
1034,customer34@example.com,0,3,31,760.29
1044,customer44@example.com,2,2,21,960.23
1382,customer382@example.com,5,3,11,976.52
1070,customer70@example.com,3,5,36,220.09
1053,customer53@example.com,2,4,14,1937.95
1386,customer386@example.com,2,4,24,490.75
1138,customer138@example.com,4,2,55,41.8
1072,customer72@example.com,0,3,50,65.19
1094,customer94@example.com,2,5,57,269.99
1369,customer369@example.com,2,1,52,1816.91
1357,customer357@example.com,1,1,52,474.81
1360,customer360@example.com,4,5,31,46.2
1381,customer381@example.com,2,1,37,40.74
1286,customer286@example.com,3,5,30,456.97
1058,customer58@example.com,0,4,49,3389.5
1175,customer175@example.com,4,3,18,608.16
1061,customer61@example.com,2,1,12,2585.5
1012,customer12@example.com,0,2,57,792.58
1380,customer380@example.com,1,3,29,248.87
1157,customer157@example.com,1,4,2,16.16
1121,customer121@example.com,3,5,7,2696.62
1069,customer69@example.com,1,4,9,521.58
1203,customer203@example.com,4,2,15,225.39
1295,customer295@example.com,4,5,6,642.75
1314,customer314@example.com,2,5,21,632.16
1143,customer143@example.com,2,3,16,418.35
1367,customer367@example.com,4,2,37,359.26
1139,customer139@example.com,0,1,12,515.89
1194,customer194@example.com,2,2,46,206.94
1137,customer137@example.com,3,4,53,403.73
1301,customer301@example.com,3,1,15,1341.5
1108,customer108@example.com,0,3,54,332.35
1344,customer344@example.com,4,4,34,1618.68
1024,customer24@example.com,2,3,57,394.85
1288,customer288@example.com,3,4,42,2581.1
1209,customer209@example.com,1,1,39,1089.88
1055,customer55@example.com,0,3,27,2006.72
1349,customer349@example.com,2,4,49,331.72
1051,customer51@example.com,3,3,43,697.05
1134,customer134@example.com,5,4,30,3402.38
1027,customer27@example.com,1,1,50,655.0
1036,customer36@example.com,0,5,56,1297.83
1205,customer205@example.com,2,4,15,1729.93
1303,customer303@example.com,1,1,50,1829.17
1170,customer170@example.com,2,4,36,1256.6
1230,customer230@example.com,2,5,4,471.37
1299,customer299@example.com,1,2,41,197.43
1352,customer352@example.com,4,1,28,3254.88
1147,customer147@example.com,2,1,5,19.64
1141,customer141@example.com,1,3,19,1530.17
1389,customer389@example.com,0,1,29,1570.18
1269,customer269@example.com,2,1,1,1538.0
1179,customer179@example.com,2,4,20,792.54
