customer_id,email,email_opens,click_rate,social_engagement,ad_spend
1226,customer226@example.com,10,0.324,28,59.16
1216,customer216@example.com,7,0.053,55,28.31
1109,customer109@example.com,16,0.595,0,19.34
1118,customer118@example.com,12,0.142,79,39.18
1217,customer217@example.com,6,0.386,70,49.2
1249,customer249@example.com,6,0.066,77,45.61
1337,customer337@example.com,11,0.403,1,79.87
1389,customer389@example.com,8,0.209,94,63.99
1367,customer367@example.com,11,0.15,40,13.86
1120,customer120@example.com,10,0.358,1,38.2
1001,customer1@example.com,14,0.429,89,58.47
1173,customer173@example.com,13,0.103,5,45.17
1207,customer207@example.com,11,0.095,6,54.06
1354,customer354@example.com,10,0.415,13,4.26
1102,customer102@example.com,4,0.29,99,68.18
1251,customer251@example.com,14,0.49,58,52.54
1338,customer338@example.com,7,0.335,60,93.62
1366,customer366@example.com,11,0.092,35,1.49
1049,customer49@example.com,9,0.262,57,121.73
1280,customer280@example.com,7,0.511,93,9.9
1263,customer263@example.com,7,0.273,88,54.33
1111,customer111@example.com,5,0.144,64,74.24
1141,customer141@example.com,9,0.214,93,7.88
1113,customer113@example.com,9,0.133,36,22.06
1175,customer175@example.com,10,0.061,60,1.74
1195,customer195@example.com,7,0.299,32,35.39
1167,customer167@example.com,2,0.176,94,14.67
1254,customer254@example.com,10,0.416,7,8.49
1374,customer374@example.com,7,0.351,25,101.59
1014,customer14@example.com,11,0.179,79,87.68
1064,customer64@example.com,12,0.406,32,26.12
1215,customer215@example.com,11,0.242,69,115.82
1157,customer157@example.com,14,0.252,84,19.62
1023,customer23@example.com,9,0.21,34,12.89
1218,customer218@example.com,12,0.02,69,122.81
1022,customer22@example.com,13,0.396,42,72.38
1328,customer328@example.com,13,0.314,14,10.98
1013,customer13@example.com,10,0.28,28,81.23
1322,customer322@example.com,10,0.709,88,36.96
1171,customer171@example.com,6,0.476,60,14.82
1079,customer79@example.com,18,0.177,12,46.02
1067,customer67@example.com,7,0.187,79,40.67
1380,customer380@example.com,7,0.187,18,48.89
1310,customer310@example.com,9,0.335,80,9.83
1208,customer208@example.com,8,0.49,56,34.34
1143,customer143@example.com,12,0.285,59,85.38
1042,customer42@example.com,11,0.523,35,10.65
1176,customer176@example.com,8,0.392,4,3.62
1050,customer50@example.com,11,0.242,85,55.36
1076,customer76@example.com,10,0.365,76,50.39
1309,customer309@example.com,13,0.105,15,54.67
1177,customer177@example.com,7,0.144,69,14.86
1137,customer137@example.com,11,0.357,1,138.2
1139,customer139@example.com,10,0.049,34,77.15
1112,customer112@example.com,11,0.356,44,23.95
1030,customer30@example.com,8,0.223,19,42.55
1384,customer384@example.com,16,0.098,79,72.37
1082,customer82@example.com,6,0.08,97,35.27
1266,customer266@example.com,7,0.116,19,28.95
1115,customer115@example.com,5,0.074,4,75.88
1159,customer159@example.com,10,0.319,98,3.88
1072,customer72@example.com,13,0.457,39,84.09
1238,customer238@example.com,11,0.172,62,29.87
1048,customer48@example.com,7,0.484,54,26.91
1303,customer303@example.com,10,0.492,64,19.54
1144,customer144@example.com,7,0.285,20,93.01
1041,customer41@example.com,5,0.278,92,25.08
1146,customer146@example.com,10,0.115,28,16.38
